Player,Networks
76561198059023162,"['10.net', '400.net', '240.net']"
76561198059045682,"['10.net', '400.net', '240.net']"
76561198059135979,"['10.net', '400.net', '240.net']"
76561198059477112,"['10.net', '400.net', '240.net']"
76561198059621474,"['10.net', '400.net', '240.net']"
76561198059884184,"['10.net', '400.net', '240.net']"
76561198060698936,"['10.net', '400.net', '240.net']"
76561198061409413,"['10.net', '400.net', '240.net']"
76561198061983670,"['10.net', '400.net', '240.net']"
76561198063105505,"['10.net', '400.net', '240.net']"
76561198064156757,"['10.net', '8930.net', '400.net', '240.net', '227300.net']"
76561198064227119,"['10.net', '400.net', '240.net']"
76561198064389068,"['10.net', '400.net', '240.net']"
76561198065072894,"['10.net', '400.net', '240.net']"
76561198065195582,"['10.net', '400.net', '240.net']"
76561198065422379,"['10.net', '400.net', '240.net']"
76561198065587562,"['10.net', '400.net', '240.net']"
76561198065630139,"['10.net', '400.net', '240.net']"
76561198066150579,"['10.net', '400.net', '240.net']"
76561198066644529,"['10.net', '400.net', '240.net']"
76561198066682169,"['10.net', '400.net', '240.net']"
76561198066713131,"['10.net', '400.net', '240.net']"
76561198066879913,"['10.net', '400.net', '240.net']"
76561198066904269,"['10.net', '400.net', '240.net']"
76561198067503741,"['10.net', '400.net', '240.net']"
76561198067692560,"['10.net', '400.net', '240.net']"
76561198068017562,"['10.net', '400.net', '240.net']"
76561198068503751,"['10.net', '400.net', '240.net']"
76561198068565431,"['10.net', '400.net', '240.net']"
76561198068765800,"['10.net', '400.net', '240.net']"
76561198068912940,"['10.net', '400.net', '240.net']"
76561198069606971,"['10.net', '400.net', '240.net']"
76561198069711010,"['10.net', '400.net', '240.net']"
76561198070419534,"['10.net', '400.net', '240.net']"
76561198071137272,"['10.net', '400.net', '240.net']"
76561198071764735,"['10.net', '400.net', '240.net']"
76561198071908295,"['10.net', '400.net', '240.net']"
76561198072381855,"['10.net', '400.net', '240.net']"
76561198072388556,"['10.net', '400.net', '240.net']"
76561198072450734,"['10.net', '400.net', '240.net']"
76561198072990751,"['10.net', '400.net', '240.net']"
76561198073132998,"['10.net', '400.net', '240.net']"
76561198073489181,"['10.net', '400.net', '240.net']"
76561198073546610,"['10.net', '400.net', '240.net']"
76561198073874742,"['10.net', '400.net', '240.net']"
76561198074116796,"['10.net', '400.net', '240.net']"
76561198074187907,"['10.net', '400.net', '240.net']"
76561198074329681,"['10.net', '400.net', '901583.net', '240.net']"
76561198074895040,"['10.net', '400.net', '240.net']"
76561198075712654,"['10.net', '400.net', '240.net']"
76561198075943714,"['10.net', '400.net', '240.net', '320.net']"
76561198076515464,"['10.net', '400.net', '240.net']"
76561198076831374,"['10.net', '400.net', '240.net']"
76561198077167832,"['10.net', '400.net', '240.net']"
76561198080091744,"['10.net', '400.net', '240.net']"
76561198080213798,"['10.net', '400.net', '240.net']"
76561198080294771,"['10.net', '400.net', '240.net']"
76561198080384194,"['10.net', '400.net', '240.net']"
76561198081115079,"['10.net', '400.net', '240.net']"
76561198081616643,"['10.net', '400.net', '240.net']"
76561198081816795,"['10.net', '400.net', '240.net']"
76561198081991599,"['10.net', '400.net', '240.net']"
76561198082837215,"['10.net', '400.net', '240.net']"
76561198083430699,"['10.net', '400.net', '240.net']"
76561198083486717,"['10.net', '400.net', '240.net']"
76561198083658043,"['10.net', '400.net', '240.net']"
76561198084088151,"['10.net', '400.net', '240.net']"
76561198084373399,"['10.net', '400.net', '240.net']"
76561198084404077,"['10.net', '400.net', '240.net']"
76561198085711378,"['10.net', '400.net', '240.net']"
76561198086678363,"['10.net', '400.net', '240.net']"
76561198086953249,"['10.net', '400.net', '240.net']"
76561198087953152,"['10.net', '400.net', '240.net']"
76561198088042241,"['10.net', '400.net', '240.net']"
76561198088605149,"['10.net', '400.net', '240.net']"
76561198088633524,"['10.net', '400.net', '240.net']"
76561198089200737,"['10.net', '400.net', '240.net']"
76561198089818695,"['10.net', '400.net', '240.net']"
76561198090057864,"['10.net', '400.net', '240.net']"
76561198090664778,"['10.net', '400.net', '240.net']"
76561198090984788,"['10.net', '431960.net', '400.net', '240.net']"
76561198091161872,"['10.net', '400.net', '240.net']"
76561198091280701,"['10.net', '400.net', '240.net']"
76561198091693867,"['10.net', '400.net', '240.net']"
76561198092397950,"['10.net', '400.net', '240.net']"
76561198092821336,"['10.net', '400.net', '240.net']"
76561198092849790,"['10.net', '400.net', '240.net']"
76561198093156334,"['10.net', '400.net', '240.net']"
76561198093779272,"['10.net', '400.net', '240.net']"
76561198094017082,"['10.net', '400.net', '240.net']"
76561198094701806,"['10.net', '400.net', '240.net']"
76561198094718811,"['10.net', '400.net', '240.net']"
76561198094759737,"['10.net', '400.net', '240.net']"
76561198094860288,"['10.net', '400.net', '240.net']"
76561198095036815,"['10.net', '400.net', '240.net']"
76561198095189636,"['10.net', '400.net', '240.net']"
76561198095212046,"['10.net', '400.net', '240.net']"
76561198096543951,"['10.net', '400.net', '240.net', '320.net']"
76561198096752471,"['10.net', '400.net', '240.net']"
76561198096886602,"['10.net', '400.net', '240.net']"
76561198097520585,"['10.net', '400.net', '240.net']"
76561198097744675,"['10.net', '400.net', '240.net']"
76561198097817251,"['10.net', '400.net', '240.net']"
76561198097874783,"['10.net', '400.net', '240.net']"
76561198097919307,"['10.net', '400.net', '240.net']"
76561198098426434,"['10.net', '400.net', '240.net']"
76561198098567761,"['10.net', '400.net', '240.net']"
76561198098664282,"['10.net', '400.net', '240.net']"
76561198098680293,"['10.net', '400.net', '240.net']"
76561198098942259,"['10.net', '400.net', '240.net']"
76561198099443848,"['10.net', '400.net', '240.net']"
76561198099555803,"['10.net', '400.net', '240.net']"
76561198099883598,"['10.net', '400.net', '240.net']"
